,word,categ,prime,corrAns,correct,rt,file,word_prime_merge
0,YVYPÓRA,1,hombre,right,1,1.317090299999109,000100_guarani3_2023-10-31_08h29.52.242.xlsx,YVYPÓRA_hombre
1,OÑE'Ẽ,1,decir,right,0,1.683697699991171,000100_guarani3_2023-10-31_08h29.52.242.xlsx,OÑE'Ẽ_decir
2,AGUYJE,1,gratitud,right,0,1.633645599998999,000100_guarani3_2023-10-31_08h29.52.242.xlsx,AGUYJE_gratitud
3,TÍO,3,familia,right,1,1.483718299990869,000100_guarani3_2023-10-31_08h29.52.242.xlsx,TÍO_familia
4,ARANDUKA,1,biblioteca,right,1,1.267033900003298,000100_guarani3_2023-10-31_08h29.52.242.xlsx,ARANDUKA_biblioteca
5,COCODRILO,3,pantano,right,1,1.550402200009557,000100_guarani3_2023-10-31_08h29.52.242.xlsx,COCODRILO_pantano
6,OGUATA,2,corre,right,0,1.867092300002696,000100_guarani3_2023-10-31_08h29.52.242.xlsx,OGUATA_corre
7,KURE,2,chancho,right,1,1.300374600003124,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KURE_chancho
8,VIDA,3,biología,right,1,1.400385899993125,000100_guarani3_2023-10-31_08h29.52.242.xlsx,VIDA_biología
9,CACHORRO,3,mascota,right,1,1.383775700000115,000100_guarani3_2023-10-31_08h29.52.242.xlsx,CACHORRO_mascota
10,KUIMBA'E,1,señor,right,1,1.817093999998178,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KUIMBA'E_señor
11,KARUMBE,2,lento,right,0,0.750406799998018,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KARUMBE_lento
12,KUATIAÑE'Ẽ,1,correo,right,1,1.667119000005187,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KUATIAÑE'Ẽ_correo
13,MITÃKUÑA'I,1,mujer,right,1,1.467071600010968,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MITÃKUÑA'I_mujer
14,OÑANI,2,caminar,right,1,1.317100899992511,000100_guarani3_2023-10-31_08h29.52.242.xlsx,OÑANI_caminar
15,KO'Ẽ,1,mañana,right,1,2.200440600005095,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KO'Ẽ_mañana
16,CABEZA,3,cráneo,right,1,1.400397400007932,000100_guarani3_2023-10-31_08h29.52.242.xlsx,CABEZA_cráneo
17,RUPI'A,2,gallina,right,1,1.516878299997188,000100_guarani3_2023-10-31_08h29.52.242.xlsx,RUPI'A_gallina
18,KARAI,1,hombre,right,1,1.433737999992445,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KARAI_hombre
19,ÑATI'Ũ,2,picadura,right,1,1.800395999991451,000100_guarani3_2023-10-31_08h29.52.242.xlsx,ÑATI'Ũ_picadura
20,YPE,2,ave,right,0,1.867073800007347,000100_guarani3_2023-10-31_08h29.52.242.xlsx,YPE_ave
21,CIRUELA,3,durazno,right,1,1.417051700002048,000100_guarani3_2023-10-31_08h29.52.242.xlsx,CIRUELA_durazno
22,KAVAJU,2,campo,right,1,1.417036700004246,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KAVAJU_campo
23,AVATI,2,pochoclo,right,1,1.50036320000072,000100_guarani3_2023-10-31_08h29.52.242.xlsx,AVATI_pochoclo
24,TAHÝI,2,hormiguero,right,1,1.383771600012551,000100_guarani3_2023-10-31_08h29.52.242.xlsx,TAHÝI_hormiguero
25,IPORÃ,1,bello,right,0,1.70038840000052,000100_guarani3_2023-10-31_08h29.52.242.xlsx,IPORÃ_bello
26,SERPIENTE,3,víbora,right,0,1.683735400001751,000100_guarani3_2023-10-31_08h29.52.242.xlsx,SERPIENTE_víbora
27,SALUD,3,vida,right,1,1.467052099993452,000100_guarani3_2023-10-31_08h29.52.242.xlsx,SALUD_vida
28,JAGUA,2,animal,right,1,1.450393300008727,000100_guarani3_2023-10-31_08h29.52.242.xlsx,JAGUA_animal
29,MBOREROTOCHU,2,trompa,right,1,1.683724800008349,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MBOREROTOCHU_trompa
30,ASAJE,1,núcleo,left,1,1.700391000005766,000100_guarani3_2023-10-31_08h29.52.242.xlsx,ASAJE_núcleo
31,KA'ARU,1,mujer,left,1,1.350422199990135,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KA'ARU_mujer
32,TEMBIPORU,2,serpiente,left,1,1.666814399999566,000100_guarani3_2023-10-31_08h29.52.242.xlsx,TEMBIPORU_serpiente
33,AMO,1,zanahoria,left,1,1.383716999989701,000100_guarani3_2023-10-31_08h29.52.242.xlsx,AMO_zanahoria
34,MBERU,2,papa,left,1,1.60037650000595,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MBERU_papa
35,MITÃ,1,atún,left,1,1.467029399995226,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MITÃ_atún
36,HE'Ẽ,2,pájaro,left,1,1.350363600009587,000100_guarani3_2023-10-31_08h29.52.242.xlsx,HE'Ẽ_pájaro
37,TIGRE,3,alga,left,1,1.867071200002101,000100_guarani3_2023-10-31_08h29.52.242.xlsx,TIGRE_alga
38,YVA,1,bombilla,left,1,1.317007499994361,000100_guarani3_2023-10-31_08h29.52.242.xlsx,YVA_bombilla
39,AVENA,3,tortuga,left,1,1.667059199986397,000100_guarani3_2023-10-31_08h29.52.242.xlsx,AVENA_tortuga
40,GUYRA,2,taza,left,1,1.583800199994585,000100_guarani3_2023-10-31_08h29.52.242.xlsx,GUYRA_taza
41,KUÑATAI,1,cal,left,1,1.483754499990027,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KUÑATAI_cal
42,JUKY,2,casa,left,1,1.483686000006855,000100_guarani3_2023-10-31_08h29.52.242.xlsx,JUKY_casa
43,IVAI,1,estrella,left,1,1.550440599996364,000100_guarani3_2023-10-31_08h29.52.242.xlsx,IVAI_estrella
44,HUMANO,3,cartón,left,1,1.583733199993731,000100_guarani3_2023-10-31_08h29.52.242.xlsx,HUMANO_cartón
45,TRIGO,3,oreja,left,1,1.567069999990053,000100_guarani3_2023-10-31_08h29.52.242.xlsx,TRIGO_oreja
46,CARA,3,lapicera,left,1,1.63370269999723,000100_guarani3_2023-10-31_08h29.52.242.xlsx,CARA_lapicera
47,MANO,3,zócalo,left,1,1.60037729999749,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MANO_zócalo
48,FAMILIA,3,rúcula,left,1,1.483895700002904,000100_guarani3_2023-10-31_08h29.52.242.xlsx,FAMILIA_rúcula
49,HO'U,1,correr,left,1,1.483723700002884,000100_guarani3_2023-10-31_08h29.52.242.xlsx,HO'U_correr
50,AMIGO,3,uva,left,1,1.533715099998517,000100_guarani3_2023-10-31_08h29.52.242.xlsx,AMIGO_uva
51,KAMBY,1,leer,left,1,1.433731800003443,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KAMBY_leer
52,ÑANDU,2,papa,left,1,1.483752899992396,000100_guarani3_2023-10-31_08h29.52.242.xlsx,ÑANDU_papa
53,PYHAREVE,1,menta,left,1,1.50042549999489,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PYHAREVE_menta
54,PULPO,3,edificio,left,1,1.517066800006432,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PULPO_edificio
55,KARIA'Y,1,pan,left,1,1.45038910000585,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KARIA'Y_pan
56,ÓGA,1,salmón,left,1,1.433778599996003,000100_guarani3_2023-10-31_08h29.52.242.xlsx,ÓGA_salmón
57,BRAZO,3,arroz,left,1,1.850447400007397,000100_guarani3_2023-10-31_08h29.52.242.xlsx,BRAZO_arroz
58,PETEĨ,1,escuela,left,1,1.483683600003133,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PETEĨ_escuela
59,PEẼ,1,pera,left,1,1.383704199994099,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PEẼ_pera
60,PIE,3,pata,right,1,1.333692499989411,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PIE_pata
61,PERA,3,durazno,right,1,1.467071600010968,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PERA_durazno
62,OVEVE,2,pájaro,right,1,1.433741700006067,000100_guarani3_2023-10-31_08h29.52.242.xlsx,OVEVE_pájaro
63,OHAI,1,leer,right,1,1.433642100004363,000100_guarani3_2023-10-31_08h29.52.242.xlsx,OHAI_leer
64,YVY'A,2,batata,right,1,1.250438400005805,000100_guarani3_2023-10-31_08h29.52.242.xlsx,YVY'A_batata
65,PIRA,2,salmón,right,1,1.267083600003389,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PIRA_salmón
66,PYHARE,1,día,right,0,1.71704590000445,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PYHARE_día
67,MADRE,3,abuela,right,1,2.100386200007051,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MADRE_abuela
68,TEMBI'U,2,arroz,right,0,1.433483500004513,000100_guarani3_2023-10-31_08h29.52.242.xlsx,TEMBI'U_arroz
69,AVATI'I,2,comida,right,1,1.250379799996153,000100_guarani3_2023-10-31_08h29.52.242.xlsx,AVATI'I_comida
70,CHEAÑYRÕ,1,perdón,right,1,1.400395999997272,000100_guarani3_2023-10-31_08h29.52.242.xlsx,CHEAÑYRÕ_perdón
71,CUERPO,3,vida,right,1,1.300376899991534,000100_guarani3_2023-10-31_08h29.52.242.xlsx,CUERPO_vida
72,POLLO,3,gallina,right,1,1.267045100001269,000100_guarani3_2023-10-31_08h29.52.242.xlsx,POLLO_gallina
73,SEVÓI,2,ajo,right,1,1.233478199996171,000100_guarani3_2023-10-31_08h29.52.242.xlsx,SEVÓI_ajo
74,PAKOVA,2,plátano,right,1,1.117043200007174,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PAKOVA_plátano
75,MITÃ'I,1,nene,right,1,1.367025200001081,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MITÃ'I_nene
