subject,item,condition_code,condition_label,RT,channel,window_start,window_end,mean_amplitude,relatedness,language
001,mujer_MITÃKUÑA'I,4,remoto_si,221,Cz,0.3,0.5,5.296751238405704,1,rem
001,mujer_MITÃKUÑA'I,4,remoto_si,221,Cz,0.5,0.8,0.5832270634971438,1,rem
001,mujer_MITÃKUÑA'I,4,remoto_si,221,Pz,0.3,0.5,4.974274043137062,1,rem
001,mujer_MITÃKUÑA'I,4,remoto_si,221,Pz,0.5,0.8,-0.18820393959490148,1,rem
001,picadura_ÑATI'Ũ,5,reciente_si,281,Cz,0.3,0.5,1.4691328260904322,1,rec
001,picadura_ÑATI'Ũ,5,reciente_si,281,Cz,0.5,0.8,-0.5419623923076972,1,rec
001,picadura_ÑATI'Ũ,5,reciente_si,281,Pz,0.3,0.5,2.152396503195632,1,rec
001,picadura_ÑATI'Ũ,5,reciente_si,281,Pz,0.5,0.8,-3.106460744235334,1,rec
001,tortuga_AVENA,3,español_no,349,Cz,0.3,0.5,4.828960558041358,0,esp
001,tortuga_AVENA,3,español_no,349,Cz,0.5,0.8,5.90058103475629,0,esp
001,tortuga_AVENA,3,español_no,349,Pz,0.3,0.5,0.8594933077692981,0,esp
001,tortuga_AVENA,3,español_no,349,Pz,0.5,0.8,5.287415311532284,0,esp
001,oreja_TRIGO,3,español_no,341,Cz,0.3,0.5,2.5449421430149903,0,esp
001,oreja_TRIGO,3,español_no,341,Cz,0.5,0.8,3.297051482438016,0,esp
001,oreja_TRIGO,3,español_no,341,Pz,0.3,0.5,-0.5893545134995992,0,esp
001,oreja_TRIGO,3,español_no,341,Pz,0.5,0.8,0.20014606208374583,0,esp
001,pera_PEẼ,1,remoto_no,298,Cz,0.3,0.5,-0.4696966019871,0,rem
001,pera_PEẼ,1,remoto_no,298,Cz,0.5,0.8,0.47105885370962525,0,rem
001,pera_PEẼ,1,remoto_no,298,Pz,0.3,0.5,2.0262656461160917,0,rem
001,pera_PEẼ,1,remoto_no,298,Pz,0.5,0.8,2.263286410683864,0,rem
001,decir_OÑE'Ẽ,4,remoto_si,448,Cz,0.3,0.5,3.61692486373851,1,rem
001,decir_OÑE'Ẽ,4,remoto_si,448,Cz,0.5,0.8,5.111145452786659,1,rem
001,decir_OÑE'Ẽ,4,remoto_si,448,Pz,0.3,0.5,1.7816891105702284,1,rem
001,decir_OÑE'Ẽ,4,remoto_si,448,Pz,0.5,0.8,4.523116891751226,1,rem
001,pantano_COCODRILO,6,español_si,273,Cz,0.3,0.5,6.682678503055987,1,esp
001,pantano_COCODRILO,6,español_si,273,Cz,0.5,0.8,4.843382611327809,1,esp
001,pantano_COCODRILO,6,español_si,273,Pz,0.3,0.5,4.441228894230264,1,esp
001,pantano_COCODRILO,6,español_si,273,Pz,0.5,0.8,2.9610270925077335,1,esp
001,leer_KAMBY,1,remoto_no,281,Cz,0.3,0.5,-6.643675920481867,0,rem
001,leer_KAMBY,1,remoto_no,281,Cz,0.5,0.8,-3.6776014545985216,0,rem
001,leer_KAMBY,1,remoto_no,281,Pz,0.3,0.5,-3.3955662068194488,0,rem
001,leer_KAMBY,1,remoto_no,281,Pz,0.5,0.8,-3.370211753632255,0,rem
001,atún_MITÃ,1,remoto_no,311,Cz,0.3,0.5,1.869862463361082,0,rem
001,atún_MITÃ,1,remoto_no,311,Cz,0.5,0.8,0.252151785859544,0,rem
